id,brand,model,model_year,milage,fuel_type,engine,transmission,price
422,Ford,F-350 Lariat,2019,3763,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,47999
423,Lincoln,MKC Base,2015,87500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,17900
424,Lexus,,2007,215000,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,10499
425,Audi,A6 55 Premium,2019,34580,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,7-Speed A/T,37000
426,RAM,1500 Laramie,2021,33704,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,88950
427,BMW,650 Gran Coupe i xDrive,2015,43500,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,43550
428,Mercedes-Benz,E-Class E 350,2012,95428,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,10000
429,Chevrolet,Suburban LT,2018,92000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,22999
430,Porsche,Bronco Wildtrak Advanced,2022,10900,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,65700
431,Ford,F-150 XLT,2017,64517,,282.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,34000
432,Jaguar,XF 25t Prestige,2018,50340,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,29000
433,Ferrari,F12berlinetta Base,2017,25520,Gasoline,6.3L V12 48V GDI DOHC,7-Speed Automatic with Auto-Shift,449995
434,,F-150 Platinum,2020,45617,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,40100
435,Lexus,IS 250C Base,2007,133500,Gasoline,,A/T,9000
436,,,2019,73350,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,46750
437,Mazda,,2021,39102,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,36570
438,Toyota,Tundra SR5 Access Cab,2010,,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,16000
439,Toyota,Land Cruiser Base,2003,121800,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,5800
440,,AMG GLE 43 Coupe 4MATIC,,71200,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,24900
441,,335 is,2012,47000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,130000
442,Jeep,Compass Sport,2008,106700,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,7500
443,Subaru,Impreza WRX,2010,67500,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,55000
444,Jaguar,XF Premium,2018,41000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,24500
445,,Sierra 1500 SLT,2021,76100,,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,31700
446,Ford,,,48641,Diesel,6.7L I6 24V DDI OHV Turbo Diesel,Automatic,76740
447,Audi,,2018,63398,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,26499
448,Audi,RS 7 4.0T Performance Prestige,2017,14269,Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,250000
449,,E-Class E 350,2004,95816,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,16900
450,Subaru,WRX Base,2015,73120,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,21495
451,BMW,750 i xDrive,2019,38000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,49999
452,,Enclave Premium,2022,25420,Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,28600
453,Toyota,Tundra SR5 Double Cab,2007,122961,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,14000
454,,,2023,7000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,50000
455,Jaguar,F-PACE 30t R-Sport,2018,,,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,28000
456,Ford,F-250 XL SuperCab H/D,1997,90400,Gasoline,,A/T,2800
457,Land,Rover LR2 Base,2016,112465,,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,36500
458,Chevrolet,Silverado 1500 2LT,2019,81000,,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,32300
459,Porsche,Cayman R,2016,38012,Gasoline,3.4L H6 24V MPFI DOHC,7-Speed Automatic with Auto-Shift,131999
460,Mercedes-Benz,AMG G 63 4MATIC,2021,17900,,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,91000
461,Chevrolet,Suburban 1500 LS,1998,134033,,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,29995
462,Mercedes-Benz,Sprinter 2500,2004,158366,Diesel,161.0HP 2.1L 4 Cylinder Engine Diesel Fuel,A/T,2300
463,Ford,Edge SEL,2019,32117,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,26125
464,Ford,F-350 Lariat,2017,51830,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,27500
465,Cadillac,Escalade ESV Sport,2014,92000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,70250
466,Ford,F-150 XLT,2021,43000,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,46500
467,Acura,ILX 2.4L,2016,139804,Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,10500
468,Ford,F-250 Platinum,2019,9142,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,71000
469,BMW,X3 xDrive30i,2021,23647,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,11499
470,Porsche,911 GT3,2009,13250,Gasoline,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,75499
471,RAM,1500 Tradesman/Express,2015,25000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,19990
472,Buick,,2020,61720,,2.0L I4 16V GDI DOHC Turbo,Automatic,29725
473,,Explorer ST,2016,71964,Gasoline,,6-Speed A/T,28500
474,Mercedes-Benz,,2016,88900,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,39100
475,BMW,,2019,26000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,37000
476,Porsche,,2011,185520,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,7999
477,Lexus,RX 350 F Sport Performance,2018,62660,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,25500
478,Toyota,Highlander SE,2019,59203,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,20900
479,Lexus,GX 460 Base,2018,63500,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,58000
480,Jeep,,,87500,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,12000
481,Audi,S4 3.0T Premium Plus,2022,8700,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,275000
482,Chevrolet,Bolt EUV Premier,2022,31000,Hybrid,200.0HP Electric Motor Electric Fuel System,A/T,47999
483,Ford,Bronco Big Bend Advanced,2021,12000,,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,41500
484,,Impreza 2.0i Premium,2013,116500,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,20708
485,Chevrolet,Camaro 2SS,2016,74000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,26800
486,Porsche,Cayenne GTS,2017,47850,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,52999
487,Porsche,911 Carrera S,2023,1800,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,107900
488,Ford,,2019,65441,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,43000
489,,Nautilus Reserve,2022,27654,Gasoline,2.7L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,38900
490,Lexus,GX 460 Premium,2017,51335,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,25800
491,BMW,M3 Base,2001,64500,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,15000
492,Nissan,Maxima 3.5 SR,2020,60930,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,23400
493,BMW,X1 xDrive28i,2020,42750,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,38000
494,Land,Rover Discovery Sport SE,2019,8228,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,78990
495,,Sprinter 2500 High Roof,2000,135000,Diesel,154.0HP 2.7L 5 Cylinder Engine Diesel Fuel,A/T,15000
496,,F-250 Lariat,,92671,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,16500
497,Lexus,LX 570 Three-Row,2021,28800,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,52590
498,,M4 Competition xDrive,2022,1050,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,30000
499,Ford,Shelby GT350R Base,2020,33000,,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,49990
500,BMW,328 xi,2006,96680,Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,12500
501,Lexus,LX 570 Three-Row,2019,31150,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,42500
502,Lexus,IS 250 Base,2006,151896,,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,12990
503,Land,Rover Range Rover Sport Supercharged HSE,2021,19800,,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,59000
504,Land,Rover Range Rover HSE SWB,,36000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,112500
505,Ford,,2021,28220,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,75000
506,Mercedes-Benz,GLK-Class GLK 350,2014,72639,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,10500
507,,Shelby GT500 Base,,10400,Gasoline,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,47124
508,Ford,,2019,18000,Gasoline,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,46900
509,,911 Carrera 4S,2018,18494,Gasoline,420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,94999
510,,,2013,,,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,22000
511,,Suburban 1500 LS,1999,119500,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,13800
512,Hyundai,,2015,,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,18400
513,GMC,Acadia SLE,2020,69185,Gasoline,2.5L I4 16V GDI DOHC,8-Speed Automatic,30825
514,Toyota,Highlander XLE,2022,29000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,39990
515,Ford,Focus RS Base,2014,,Gasoline,350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,29950
516,Mercedes-Benz,E-Class E 350 4MATIC,2013,,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,15500
517,Nissan,,2004,245000,Gasoline,,A/T,5500
518,BMW,X5 xDrive40i,2020,41000,Gasoline,,8-Speed A/T,50000
519,,340 i,2019,48000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,46000
520,Lexus,GX 460 Base,2018,45000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,50000
521,Mercedes-Benz,AMG GT 63 S 4-Door,2020,,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,64600
522,Subaru,Impreza WRX STI,2014,67250,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,15500
523,Volkswagen,Golf GTI 2.0T SE 4-Door,2016,89500,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,16999
524,,,2021,73846,Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,34645
525,,QX60 Luxe,2018,38400,Gasoline,,A/T,21250
526,BMW,535 i xDrive,2011,76500,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,15999
527,GMC,Yukon XL Denali,2023,4500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,92888
528,Mercedes-Benz,E-Class E 350 4MATIC,2009,82900,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,11970
529,Mercedes-Benz,GL-Class GL 450 4MATIC,2012,87000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,22500
530,Kia,Optima LX,2015,109580,,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,19500
531,Toyota,Land Cruiser Base,1997,150000,Gasoline,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,6399
532,Dodge,Challenger R/T Scat Pack,2021,35000,–,–,8-Speed A/T,48000
533,Kia,Telluride SX,2017,56450,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,30000
534,RAM,1500 Tradesman/Express,2022,24906,Gasoline,3.6 Liter DOHC,Automatic,42998
535,Toyota,Tacoma Double Cab,2005,242000,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,6880
536,Ford,,2019,31000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,39000
537,Nissan,350Z Enthusiast,2005,74000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,7899
538,Dodge,Challenger SRT Hellcat,2021,12600,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,78500
539,Land,,2016,46000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,85500
540,Ford,F-250 XLT SuperCab Super Duty,2011,184000,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,58000
541,Bentley,Continental GT V8 S,2020,31500,Gasoline,521.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,349950
542,Ford,F-150 XLT,2021,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,38322
543,Mercedes-Benz,GLS 450 Base 4MATIC,2022,15000,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,42000
544,Ford,F-150 XLT,2018,67500,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,30950
545,BMW,,2021,,Gasoline,2.0 Liter Turbo,Automatic,41598
546,,,2017,57500,,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,33700
547,Mercedes-Benz,C-Class C 300 4MATIC Sport,2008,122000,,,A/T,11900
548,Mazda,RX-8 Grand Touring,2013,97700,Gasoline,232.0HP 1.3L Rotary engine Gasoline Fuel,6-Speed M/T,22000
549,,C-Class C 300 4MATIC Sport,2019,61300,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,29500
550,Chevrolet,Colorado ZR2,2021,24915,,3.6 Liter SIDI DOHC,Automatic,48698
551,Jeep,Wrangler Unlimited Rubicon,2014,52000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,21500
552,Jeep,Wrangler Unlimited Freedom Edition,2019,53249,Hybrid,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic with Auto-Shift,31953
553,Ford,F-150 Lariat,2020,19700,,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,49900
554,Mercedes-Benz,S-Class S 560 4MATIC,2019,10483,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,42999
555,INFINITI,,2009,135000,,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,9500
556,Lexus,LC 500 Base,2021,64000,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,32500
557,RAM,1500 Big Horn,2023,1563,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,69250
558,,Camaro Base,2001,79635,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,17550
559,Chevrolet,Trailblazer LS,2022,55621,Gasoline,3.6L V6 24V GDI DOHC,Automatic,45277
560,Audi,RS 5 2.9T,2019,49000,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,49900
561,Jeep,Grand Cherokee Limited,2021,23842,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,47449
562,BMW,X7 xDrive40i,,15000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,108900
563,Land,,2021,5483,Gasoline,5.0L V8 32V PDI DOHC,8-Speed Automatic,49995
564,Porsche,911 Carrera C2S,2008,9628,Gasoline,3.0L H6 24V GDI DOHC Twin Turbo,7-Speed Manual,45999
565,,Expedition Timberline,2022,24500,,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,41500
566,Porsche,911 Carrera,2014,65000,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,43500
567,Jaguar,XK8 Base,2000,44000,Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,16600
568,,F-150 XLT,2016,98000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,21000
569,Jeep,,2019,12758,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,84500
570,Audi,S5 3.0T Premium Plus,2014,119850,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,18500
571,Mercedes-Benz,E-Class E 350,2021,16813,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,39995
572,Mercedes-Benz,,2017,63000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,65000
573,,,2014,127500,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,31000
574,,K900 5.0L,2019,8263,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,23999
575,Volkswagen,Golf Auto TSI S,2018,136400,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,27500
576,Toyota,Tundra SR5 Double Cab,2004,170000,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,4700
577,Porsche,911 Carrera 4S,2022,2950,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,51900
578,Jeep,Wrangler Sport,2002,132000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,11500
579,Land,Rover Defender V8,2022,9000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,94999
580,Lamborghini,,2021,2950,Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,417500
581,Mercedes-Benz,C-Class C 300 4MATIC Sport,2014,,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,12900
582,Lexus,RX 450h Base,2018,82975,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,18700
583,Lexus,RX 350 F Sport Performance,2021,46707,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,143900
584,Cadillac,Escalade ESV Platinum,2017,93971,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,24500
585,BMW,340 i,2016,86500,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,21000
586,Subaru,Outback 2.5i Limited,2015,96476,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,14999
587,Mercedes-Benz,,2022,7800,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,78000
588,BMW,428 i xDrive SULEV,2017,54000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,34000
589,Porsche,911 GT3 RS,2022,10900,Gasoline,4.0L H6 24V GDI DOHC,8-Speed Automatic with Auto-Shift,58900
590,Lexus,GX 460 Base,2013,89148,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,18500
591,Porsche,Macan S,2022,29136,Gasoline,3.0 Liter Turbo,Automatic,41598
592,RAM,1500 Big Horn,2021,25462,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,42886
593,,IS 300 Base,2015,107800,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,13000
594,Kia,Telluride S,2020,2958,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,99950
595,Chevrolet,Corvette Stingray w/3LT,,10500,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,75000
596,Chevrolet,Tahoe LT,2015,123500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,23500
597,BMW,330 i xDrive,2016,,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,20150
598,RAM,1500 Big Horn,2021,65000,Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,40000
599,Mercedes-Benz,SL-Class SL500 Roadster,2007,222,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,84999
600,,,2021,13500,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,74500
601,Land,Rover Range Rover Velar P250 S R-Dynamic,2020,10500,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,45000
602,Land,Rover Range Rover Velar P250 S R-Dynamic,2018,41550,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,30000
603,Ford,Transit-350 Base,2016,105760,,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,37899
604,,S-Class S 560 4MATIC,2022,13700,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,44600
605,Cadillac,XT6 Sport AWD,2021,37366,Gasoline,3.6L V6 24V GDI DOHC,Automatic,73600
606,,Bronco Outer Banks Advanced,2023,1025,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,45000
607,Ford,,2022,31500,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,56900
608,,Durango SRT 392,2022,31917,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,44900
609,Kia,Sportage Nightfall,2019,38012,Gasoline,2.4L I4 16V GDI DOHC,8-Speed Automatic,45770
610,Chrysler,,2004,152000,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,6450
611,Mercedes-Benz,G-Class G 550 4MATIC,2021,6682,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,279950
612,Lexus,,,61773,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,29995
613,Mercedes-Benz,AMG G 63 Base,2017,24500,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,64000
614,RAM,2500 Big Horn,2021,57300,Gasoline,6.4L V8 16V MPFI OHV,8-Speed Automatic,43640
615,RAM,,2016,49750,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,35000
616,Maserati,GranTurismo Base,2008,53500,Gasoline,405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,60000
617,Land,Rover Range Rover Sport HSE Dynamic,2019,58000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,28000
618,McLaren,720S Performance,2018,12985,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,173995
619,Jaguar,,2020,54000,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,62000
620,Audi,A4 2.0T Premium,2012,68000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,18500
621,Mercedes-Benz,GL-Class GL 450 4MATIC,2018,40000,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,43000
622,,Mustang GT Premium,2017,52044,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,31500
623,Chevrolet,Silverado 1500 LT Crew Cab,2007,167500,Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,10995
624,,SLK-Class SLK 350,2008,120800,,,7-Speed A/T,14900
625,Dodge,Ram 1500 ST,2007,148000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,5800
626,Audi,A3 2.0T Premium,2018,56856,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,69995
627,BMW,330 i,2019,45791,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,25000
628,Cadillac,Escalade Sport Platinum,2018,44000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,116999
629,Ford,F-150 Lariat,2021,84351,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,23998
630,Audi,A3 2.0T Tech Premium,2018,72865,,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,21000
631,Porsche,Macan S,2018,48000,Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,33490
632,Lexus,GX 470 Base,2004,96700,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,23500
